PID,Name,CPU%,Memory%,Cluster
4668,chrome_crashpad_handler,0.0,0.019410683730739,2
4767,code,0.0,0.5192569805000328,2
4884,code,0.0,2.1861459140934563,0
5022,code,0.0,1.7426386324029015,0
5422,code,0.0,1.0063888556116372,2
5506,code,0.0,0.8236684892554661,2
5524,code,0.0,0.7431720730271174,2
5525,code,0.0,1.0595351381407787,2
5817,zsh,0.0,0.0533158081512439,2
6174,code,0.0,0.8793011475754446,2
6183,code,0.0,0.9752809039558238,2
6271,code,0.0,0.7598986010745664,2
7041,kworker/0:0-cgroup_destroy,0.0,0.0,2
7123,kworker/1:3,0.0,0.0,2
7147,kworker/11:0-mm_percpu_wq,0.0,0.0,2
7160,nautilus,0.0,1.775046280494834,0
7192,gvfsd-recent,0.0,0.0581472883811659,2
7372,code,0.0,3.043182696632769,0
7392,code,0.0,0.7481730788791419,2
7404,code,0.0,1.2167136441001694,2
7467,code,0.0,0.5753417071456179,2
7496,code,0.0,0.6357493371548175,2
7511,fwupd,0.0,0.3062480363282106,2
7534,kworker/5:0,0.0,0.0,2
7540,zsh,0.0,0.0636003625587971,2
9070,chrome,0.0,1.9687858122876687,0
9299,gnome-terminal-server,0.0,0.3682096512066834,2
9307,zsh,0.0,0.0523269086889792,2
9946,psimon,0.0,0.0,2
9962,preload,0.0,0.029949526571446,2
10529,kworker/u49:1-rtw89_tx_wq,0.0,0.0,2
11672,chrome,0.0,1.7900775523212578,0
11710,kworker/u49:2-ttm,0.0,0.0,2
13033,ssh-agent,0.0,0.0409121834674092,2
13297,kworker/3:3,0.0,0.0,2
13757,kworker/R-tls-strp,0.0,0.0,2
13805,kworker/u49:0-ttm,0.0,0.0,2
13806,kworker/u49:3-rtw89_tx_wq,0.0,0.0,2
13808,kworker/u49:6-ttm,0.0,0.0,2
14040,kworker/6:1-events,0.0,0.0,2
14060,gjs,0.0,0.4680602426250704,2
14083,kworker/u49:7-ttm,0.0,0.0,2
14084,kworker/u49:8-ttm,0.0,0.0,2
14085,kworker/u49:9-ttm,0.0,0.0,2
14086,kworker/u49:12-ttm,0.0,0.0,2
14088,kworker/u49:15-ttm,0.0,0.0,2
14154,kworker/10:2-cgroup_destroy,0.0,0.0,2
14875,kworker/11:3-cgroup_destroy,0.0,0.0,2
15977,kworker/u48:0-events_power_efficient,0.0,0.0,2
16722,zsh,0.0,0.0531462825291414,2
18179,kworker/u48:1-gfx,0.0,0.0,2
18212,kworker/11:1-cgroup_destroy,0.0,0.0,2
18268,kworker/10:0,0.0,0.0,2
18286,chrome,0.0,0.5796928647795828,2
18385,chrome,0.0,1.040237471491441,2
19064,python3,0.0,0.4990834314698323,2
1,systemd,0.0,0.1036649179156937,2
2,kthreadd,0.0,0.0,2
3,pool_workqueue_release,0.0,0.0,2
4,kworker/R-rcu_gp,0.0,0.0,2
5,kworker/R-sync_wq,0.0,0.0,2
6,kworker/R-slub_flushwq,0.0,0.0,2
7,kworker/R-netns,0.0,0.0,2
10,kworker/0:0H-events_highpri,0.0,0.0,2
12,kworker/R-mm_percpu_wq,0.0,0.0,2
13,rcu_tasks_kthread,0.0,0.0,2
14,rcu_tasks_rude_kthread,0.0,0.0,2
15,rcu_tasks_trace_kthread,0.0,0.0,2
16,ksoftirqd/0,0.0,0.0,2
17,rcu_preempt,0.2,0.0,2
18,rcu_exp_par_gp_kthread_worker/0,0.0,0.0,2
19,rcu_exp_gp_kthread_worker,0.0,0.0,2
20,migration/0,0.0,0.0,2
21,idle_inject/0,0.0,0.0,2
22,cpuhp/0,0.0,0.0,2
23,cpuhp/2,0.0,0.0,2
24,idle_inject/2,0.0,0.0,2
25,migration/2,0.0,0.0,2
26,ksoftirqd/2,0.0,0.0,2
28,kworker/2:0H-events_highpri,0.0,0.0,2
29,cpuhp/4,0.0,0.0,2
30,idle_inject/4,0.0,0.0,2
31,migration/4,0.0,0.0,2
32,ksoftirqd/4,0.0,0.0,2
34,kworker/4:0H-events_highpri,0.0,0.0,2
35,cpuhp/6,0.0,0.0,2
36,idle_inject/6,0.0,0.0,2
37,migration/6,0.0,0.0,2
38,ksoftirqd/6,0.0,0.0,2
40,kworker/6:0H-events_highpri,0.0,0.0,2
41,cpuhp/8,0.0,0.0,2
42,idle_inject/8,0.0,0.0,2
43,migration/8,0.0,0.0,2
44,ksoftirqd/8,0.0,0.0,2
46,kworker/8:0H-events_highpri,0.0,0.0,2
47,cpuhp/10,0.0,0.0,2
48,idle_inject/10,0.0,0.0,2
49,migration/10,0.0,0.0,2
50,ksoftirqd/10,0.0,0.0,2
52,kworker/10:0H-events_highpri,0.0,0.0,2
53,cpuhp/1,0.0,0.0,2
54,idle_inject/1,0.0,0.0,2
55,migration/1,0.0,0.0,2
56,ksoftirqd/1,0.0,0.0,2
58,kworker/1:0H-events_highpri,0.0,0.0,2
59,cpuhp/3,0.0,0.0,2
60,idle_inject/3,0.0,0.0,2
61,migration/3,0.0,0.0,2
62,ksoftirqd/3,0.0,0.0,2
64,kworker/3:0H-events_highpri,0.0,0.0,2
65,cpuhp/5,0.0,0.0,2
66,idle_inject/5,0.0,0.0,2
67,migration/5,0.0,0.0,2
68,ksoftirqd/5,0.0,0.0,2
70,kworker/5:0H-events_highpri,0.0,0.0,2
71,cpuhp/7,0.0,0.0,2
72,idle_inject/7,0.0,0.0,2
73,migration/7,0.0,0.0,2
74,ksoftirqd/7,0.0,0.0,2
75,kworker/7:0-mm_percpu_wq,0.0,0.0,2
76,kworker/7:0H-events_highpri,0.0,0.0,2
